"filename", "language", "XMake", "Lua", "JSON", "C++", "Markdown", "YAML", "comment", "blank", "total"
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\base\Utils.h", "C++", 0, 0, 0, 10, 0, 0, 0, 8, 18
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\group\CFSPGroup.cpp", "C++", 0, 0, 0, 13, 0, 0, 0, 2, 15
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\group\CFSPGroup.h", "C++", 0, 0, 0, 13, 0, 0, 0, 4, 17
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\group\GroupData.h", "C++", 0, 0, 0, 13, 0, 0, 0, 2, 15
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\group\GroupPermission.h", "C++", 0, 0, 0, 5, 0, 0, 0, 0, 5
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\helper\SimPlayerHelper.cpp", "C++", 0, 0, 0, 8, 0, 0, 0, 2, 10
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\helper\SimPlayerHelper.h", "C++", 0, 0, 0, 10, 0, 0, 0, 4, 14
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\helper\SimPlayerSaveHelper.cpp", "C++", 0, 0, 0, 139, 0, 0, 0, 6, 145
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\manager\CFSPManager.cpp", "C++", 0, 0, 0, 232, 0, 0, 3, 28, 263
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\manager\CFSPManager.h", "C++", 0, 0, 0, 56, 0, 0, 0, 7, 63
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\manager\CFSPManagerGroup.cpp", "C++", 0, 0, 0, 19, 0, 0, 0, 3, 22
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\manager\CFSPManagerSp.cpp", "C++", 0, 0, 0, 58, 0, 0, 2, 7, 67
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\simPlayer\SimPlayer.h", "C++", 0, 0, 0, 28, 0, 0, 0, 5, 33
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\simPlayer\SimPlayerBase.cpp", "C++", 0, 0, 0, 31, 0, 0, 0, 6, 37
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\simPlayer\SimPlayerInv.cpp", "C++", 0, 0, 0, 17, 0, 0, 0, 3, 20
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\simPlayer\SimPlayerPermission.h", "C++", 0, 0, 0, 8, 0, 0, 0, 1, 9
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\simPlayer\SimPlayerSave.cpp", "C++", 0, 0, 0, 29, 0, 0, 0, 3, 32
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\simPlayer\SimPlayerSaveData.h", "C++", 0, 0, 0, 22, 0, 0, 0, 3, 25
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\entrance\command\ComandManager.cpp", "C++", 0, 0, 0, 31, 0, 0, 2, 6, 39
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\entrance\command\ComandManager.h", "C++", 0, 0, 0, 17, 0, 0, 0, 5, 22
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\entrance\command\GuiCommand.cpp", "C++", 0, 0, 0, 56, 0, 0, 3, 5, 64
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\entrance\gui\GuiManager.cpp", "C++", 0, 0, 0, 208, 0, 0, 0, 13, 221
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\entrance\gui\GuiManager.h", "C++", 0, 0, 0, 27, 0, 0, 0, 5, 32
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\entrance\gui\OperateGroupGui.cpp", "C++", 0, 0, 0, 4, 0, 0, 0, 1, 5
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\entrance\gui\OperateSpGui.cpp", "C++", 0, 0, 0, 4, 0, 0, 0, 1, 5
"f:\Project\levilamina\1.4.x\CFSP\src\lang\en_US.json", "JSON", 0, 0, 7, 0, 0, 0, 0, 0, 7
"f:\Project\levilamina\1.4.x\CFSP\src\lang\zh_CN.json", "JSON", 0, 0, 80, 0, 0, 0, 0, 0, 80
"f:\Project\levilamina\1.4.x\CFSP\tooth.json", "JSON", 0, 0, 26, 0, 0, 0, 0, 0, 26
"f:\Project\levilamina\1.4.x\CFSP\xmake.lua", "XMake", 59, 0, 0, 0, 0, 0, 3, 8, 70
"Total", "-", 59, 105, 120, 1268, 201, 174, 33, 400, 2360
